Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
-0.12018000000,3.20000,256.00000,-46.00000
-0.12016000000,3.20000,264.00000,-44.00000
-0.12013998750,39.20000,256.00000,-42.00000
-0.12012000000,77.60000,264.00000,-44.00000
-0.12010000000,0.80000,260.00000,-52.00000
-0.12008000000,0.80000,260.00000,-50.00000
-0.12006000000,0.80000,264.00000,-48.00000
-0.12004000000,73.60000,260.00000,-46.00000
-0.12002000000,40.00000,268.00000,-46.00000
-0.12000000000,2.40000,268.00000,-50.00000
-0.11998000000,3.20000,268.00000,-50.00000
-0.11996000000,1.60000,272.00000,-52.00000
-0.11994000000,38.40000,272.00000,-50.00000
-0.11992000000,80.00000,276.00000,-48.00000
-0.11990000000,2.40000,276.00000,-56.00000
-0.11988000000,0.80000,276.00000,-56.00000
-0.11986000000,0.80000,272.00000,-54.00000
-0.11984000000,74.40000,276.00000,-54.00000
-0.11982000000,38.40000,280.00000,-52.00000
-0.11980000000,0.80000,280.00000,-54.00000
-0.11978000000,2.40000,280.00000,-60.00000
-0.11976000000,2.40000,284.00000,-56.00000
-0.11974000000,39.20000,284.00000,-56.00000
-0.11972000000,79.20001,284.00000,-54.00000
-0.11970000000,1.60000,284.00000,-60.00000
-0.11968000000,0.80000,288.00000,-62.00000
-0.11966000000,0.80000,292.00000,-60.00000
-0.11964000000,75.20001,288.00000,-60.00000
-0.11962000000,39.20000,288.00000,-58.00000
-0.11960000000,3.20000,296.00000,-62.00000
-0.11958000000,2.40000,296.00000,-66.00000
-0.11956000000,1.60000,292.00000,-64.00000
-0.11954000000,77.60000,292.00000,-62.00000
-0.11952000000,77.60000,296.00000,-60.00000
-0.11950000000,0.80000,296.00000,-68.00000
-0.11948000000,1.60000,300.00000,-68.00000
-0.11946000000,3.20000,300.00000,-66.00000
-0.11944000000,75.20001,300.00000,-64.00000
-0.11942000000,39.20000,300.00000,-62.00000
-0.11940000000,0.80000,304.00000,-68.00000
-0.11938000000,2.40000,300.00000,-72.00000
-0.11936000000,1.60000,300.00000,-68.00000
-0.11934000000,79.20001,300.00000,-66.00000
-0.11932000000,76.80001,308.00000,-68.00000
-0.11930000000,0.80000,304.00000,-72.00000
-0.11928000000,1.60000,304.00000,-72.00000
-0.11926000000,58.40000,308.00000,-72.00000
-0.11924000000,74.40000,308.00000,-68.00000
-0.11922000000,-2.40000,308.00000,-68.00000
-0.11920000000,1.60000,308.00000,-72.00000
-0.11918000000,3.20000,308.00000,-76.00000
-0.11916000000,3.20000,312.00000,-74.00000
-0.11914000000,77.60000,312.00000,-72.00000
-0.11912000000,74.40000,312.00000,-76.00000
-0.11910000000,0.80000,312.00000,-78.00000
-0.11908000000,4.00000,312.00000,-78.00000
-0.11906000000,80.00000,316.00000,-76.00000
-0.11904000000,75.20001,316.00000,-74.00000
-0.11902000000,-0.80000,320.00000,-72.00000
-0.11900000000,0.80000,320.00000,-78.00000
-0.11898000000,0.00,316.00000,-82.00000
-0.11896000000,2.40000,320.00000,-78.00000
-0.11894000000,78.40000,320.00000,-76.00000
-0.11892000000,77.60000,324.00000,-76.00000
-0.11890000000,0.00,320.00000,-84.00000
-0.11888000000,1.60000,320.00000,-82.00000
-0.11886000000,87.20002,320.00000,-82.00000
-0.11884000000,75.20001,324.00000,-78.00000
-0.11882000000,0.00,324.00000,-78.00000
-0.11880000000,0.00,328.00000,-82.00000
-0.11878000000,2.40000,324.00000,-86.00000
-0.11876000000,1.60000,328.00000,-84.00000
-0.11874000000,76.80001,328.00000,-82.00000
-0.11872000000,73.60000,324.00000,-82.00000
-0.11870000000,2.40000,328.00000,-88.00000
-0.11868000000,0.80000,324.00000,-88.00000
-0.11866000000,87.20002,328.00000,-84.00000
